timestamp,open,high,low,close,volume
1748208120000,172.33000000,172.33000000,172.11000000,172.12000000,724.22700000
1748208180000,172.12000000,172.13000000,171.80000000,171.80000000,1094.10200000
1748208240000,171.81000000,171.84000000,171.74000000,171.75000000,811.20500000
1748208300000,171.75000000,171.79000000,171.71000000,171.72000000,1187.24900000
1748208360000,171.71000000,171.71000000,171.61000000,171.62000000,572.54800000
1748208420000,171.62000000,171.74000000,171.60000000,171.74000000,529.11600000
1748208480000,171.74000000,171.88000000,171.74000000,171.88000000,650.63100000
1748208540000,171.87000000,171.88000000,171.73000000,171.73000000,514.36200000
1748208600000,171.72000000,171.72000000,171.53000000,171.54000000,889.07000000
1748208660000,171.54000000,171.54000000,170.96000000,170.96000000,3593.76100000
